,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
113,0 days 09:25:00,J3,1767,J,3,plamGFP-deGFP,Plate 1,1,Negative
114,0 days 09:30:00,J3,1787,J,3,plamGFP-deGFP,Plate 1,1,Negative
115,0 days 09:35:00,J3,1852,J,3,plamGFP-deGFP,Plate 1,1,Negative
116,0 days 09:40:00,J3,1927,J,3,plamGFP-deGFP,Plate 1,1,Negative
117,0 days 09:45:00,J3,1855,J,3,plamGFP-deGFP,Plate 1,1,Negative
118,0 days 09:50:00,J3,1923,J,3,plamGFP-deGFP,Plate 1,1,Negative
119,0 days 09:55:00,J3,1834,J,3,plamGFP-deGFP,Plate 1,1,Negative
120,0 days 10:00:00,J3,1846,J,3,plamGFP-deGFP,Plate 1,1,Negative
121,0 days 10:05:00,J3,1870,J,3,plamGFP-deGFP,Plate 1,1,Negative
122,0 days 10:10:00,J3,1886,J,3,plamGFP-deGFP,Plate 1,1,Negative
123,0 days 10:15:00,J3,1884,J,3,plamGFP-deGFP,Plate 1,1,Negative
124,0 days 10:20:00,J3,1956,J,3,plamGFP-deGFP,Plate 1,1,Negative
125,0 days 10:25:00,J3,1914,J,3,plamGFP-deGFP,Plate 1,1,Negative
126,0 days 10:30:00,J3,1981,J,3,plamGFP-deGFP,Plate 1,1,Negative
127,0 days 10:35:00,J3,1944,J,3,plamGFP-deGFP,Plate 1,1,Negative
128,0 days 10:40:00,J3,1945,J,3,plamGFP-deGFP,Plate 1,1,Negative
129,0 days 10:45:00,J3,1979,J,3,plamGFP-deGFP,Plate 1,1,Negative
130,0 days 10:50:00,J3,2020,J,3,plamGFP-deGFP,Plate 1,1,Negative
131,0 days 10:55:00,J3,1970,J,3,plamGFP-deGFP,Plate 1,1,Negative
132,0 days 11:00:00,J3,1931,J,3,plamGFP-deGFP,Plate 1,1,Negative
133,0 days 11:05:00,J3,2010,J,3,plamGFP-deGFP,Plate 1,1,Negative
134,0 days 11:10:00,J3,1990,J,3,plamGFP-deGFP,Plate 1,1,Negative
135,0 days 11:15:00,J3,2032,J,3,plamGFP-deGFP,Plate 1,1,Negative
136,0 days 11:20:00,J3,2047,J,3,plamGFP-deGFP,Plate 1,1,Negative
137,0 days 11:25:00,J3,1982,J,3,plamGFP-deGFP,Plate 1,1,Negative
138,0 days 11:30:00,J3,2111,J,3,plamGFP-deGFP,Plate 1,1,Negative
139,0 days 11:35:00,J3,2051,J,3,plamGFP-deGFP,Plate 1,1,Negative
140,0 days 11:40:00,J3,2098,J,3,plamGFP-deGFP,Plate 1,1,Negative
141,0 days 11:45:00,J3,2063,J,3,plamGFP-deGFP,Plate 1,1,Negative
142,0 days 11:50:00,J3,2122,J,3,plamGFP-deGFP,Plate 1,1,Negative
143,0 days 11:55:00,J3,2103,J,3,plamGFP-deGFP,Plate 1,1,Negative
144,0 days 12:00:00,J3,2075,J,3,plamGFP-deGFP,Plate 1,1,Negative
