,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
94,0 days 07:50:00,J3,2274,J,3,plamGFP-deGFP,Plate 1,1,Negative
95,0 days 07:55:00,J3,2393,J,3,plamGFP-deGFP,Plate 1,1,Negative
96,0 days 08:00:00,J3,2336,J,3,plamGFP-deGFP,Plate 1,1,Negative
97,0 days 08:05:00,J3,2366,J,3,plamGFP-deGFP,Plate 1,1,Negative
98,0 days 08:10:00,J3,2379,J,3,plamGFP-deGFP,Plate 1,1,Negative
99,0 days 08:15:00,J3,2416,J,3,plamGFP-deGFP,Plate 1,1,Negative
100,0 days 08:20:00,J3,2442,J,3,plamGFP-deGFP,Plate 1,1,Negative
101,0 days 08:25:00,J3,2420,J,3,plamGFP-deGFP,Plate 1,1,Negative
102,0 days 08:30:00,J3,2438,J,3,plamGFP-deGFP,Plate 1,1,Negative
103,0 days 08:35:00,J3,2345,J,3,plamGFP-deGFP,Plate 1,1,Negative
104,0 days 08:40:00,J3,2462,J,3,plamGFP-deGFP,Plate 1,1,Negative
105,0 days 08:45:00,J3,2408,J,3,plamGFP-deGFP,Plate 1,1,Negative
106,0 days 08:50:00,J3,2433,J,3,plamGFP-deGFP,Plate 1,1,Negative
107,0 days 08:55:00,J3,2384,J,3,plamGFP-deGFP,Plate 1,1,Negative
108,0 days 09:00:00,J3,2550,J,3,plamGFP-deGFP,Plate 1,1,Negative
109,0 days 09:05:00,J3,2584,J,3,plamGFP-deGFP,Plate 1,1,Negative
110,0 days 09:10:00,J3,2491,J,3,plamGFP-deGFP,Plate 1,1,Negative
111,0 days 09:15:00,J3,2542,J,3,plamGFP-deGFP,Plate 1,1,Negative
112,0 days 09:20:00,J3,2599,J,3,plamGFP-deGFP,Plate 1,1,Negative
113,0 days 09:25:00,J3,2588,J,3,plamGFP-deGFP,Plate 1,1,Negative
114,0 days 09:30:00,J3,2515,J,3,plamGFP-deGFP,Plate 1,1,Negative
115,0 days 09:35:00,J3,2582,J,3,plamGFP-deGFP,Plate 1,1,Negative
116,0 days 09:40:00,J3,2500,J,3,plamGFP-deGFP,Plate 1,1,Negative
117,0 days 09:45:00,J3,2554,J,3,plamGFP-deGFP,Plate 1,1,Negative
118,0 days 09:50:00,J3,2603,J,3,plamGFP-deGFP,Plate 1,1,Negative
119,0 days 09:55:00,J3,2568,J,3,plamGFP-deGFP,Plate 1,1,Negative
120,0 days 10:00:00,J3,2574,J,3,plamGFP-deGFP,Plate 1,1,Negative
