Well	Row	Column	Experiment	Name	Type	Replicate	Mg2+ Supplement (mM)	NEB Sol A (uL)	OnePot SMx (uL)	Fresh SMx (uL)	OnePot tRNA (uL)	NEB Sol B (uL)	NEB Sol B -Ribos (uL)	OnePot PMx BE #1 (uL)	OnePot PMx BE #2 (uL)	OnePot PMx OG #1 (uL)	b.next PMx (uL)	OnePot Ribos #1 (uL)	OnePot Ribos #2 (uL)	bn Ribosome (uL)	RNase Inhibitor (uL)	pT7-plamGFP (uL)	Ultrapure water (uL)
K8	K	8	Full Send	b.next +	Sample	2	1.5		7.5		2.5						3			2.5	1.25	1.25	4.5
K10	K	10	Full Send	b.next +	Sample	2	2		7.5		2.5						3			2.5	1.25	1.25	4.5
K12	K	12	Full Send	b.next +	Sample	2	2.5		7.5		2.5						3			2.5	1.25	1.25	4.5
K14	K	14	Full Send	b.next +	Sample	2	3		7.5		2.5						3			2.5	1.25	1.25	4.5
K16	K	16	Full Send	b.next +	Sample	2	3.5		7.5		2.5						3			2.5	1.25	1.25	4.5
M2	M	2	Full Send	SMx +	Sample	2	0		7.5		2.5	3									1.25	1.25	7
M4	M	4	Full Send	SMx +	Sample	2	0.5		7.5		2.5	3									1.25	1.25	7
M6	M	6	Full Send	SMx +	Sample	2	1		7.5		2.5	3									1.25	1.25	7
M8	M	8	Full Send	SMx +	Sample	2	1.5		7.5		2.5	3									1.25	1.25	7
M10	M	10	Full Send	SMx +	Sample	2	2		7.5		2.5	3									1.25	1.25	7
M12	M	12	Full Send	SMx +	Sample	2	2.5		7.5		2.5	3									1.25	1.25	7
M14	M	14	Full Send	SMx +	Sample	2	3		7.5		2.5	3									1.25	1.25	7
M16	M	16	Full Send	SMx +	Sample	2	3.5		7.5		2.5	3									1.25	1.25	7
A19	A	19	Full Send	Fresh SMx +DNA	Sample	1	0			7.5	2.5	3									1.25	1.25	7
C19	C	19	Full Send	Fresh SMx +DNA	Sample	1	0.5			7.5	2.5	3									1.25	1.25	7
E19	E	19	Full Send	Fresh SMx +DNA	Sample	1	1			7.5	2.5	3									1.25	1.25	7
G19	G	19	Full Send	Fresh SMx +DNA	Sample	1	1.5			7.5	2.5	3									1.25	1.25	7
I19	I	19	Full Send	Fresh SMx +DNA	Sample	1	2			7.5	2.5	3									1.25	1.25	7
K19	K	19	Full Send	Fresh SMx +DNA	Sample	1	2.5			7.5	2.5	3									1.25	1.25	7
M19	M	19	Full Send	Fresh SMx +DNA	Sample	1	3			7.5	2.5	3									1.25	1.25	7
O19	O	19	Full Send	Fresh SMx +DNA	Sample	1	3.5			7.5	2.5	3									1.25	1.25	7
A21	A	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0			7.5	2.5	3									1.25	1.25	7
C21	C	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	0.5			7.5	2.5	3									1.25	1.25	7
E21	E	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	1			7.5	2.5	3									1.25	1.25	7
G21	G	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	1.5			7.5	2.5	3									1.25	1.25	7
I21	I	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	2			7.5	2.5	3									1.25	1.25	7
K21	K	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	2.5			7.5	2.5	3									1.25	1.25	7
M21	M	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	3			7.5	2.5	3									1.25	1.25	7
O21	O	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	1	3.5			7.5	2.5	3									1.25	1.25	7
B19	B	19	Full Send	Fresh SMx +DNA	Sample	2	0			7.5	2.5	3									1.25	1.25	7
D19	D	19	Full Send	Fresh SMx +DNA	Sample	2	0.5			7.5	2.5	3									1.25	1.25	7
F19	F	19	Full Send	Fresh SMx +DNA	Sample	2	1			7.5	2.5	3									1.25	1.25	7
H19	H	19	Full Send	Fresh SMx +DNA	Sample	2	1.5			7.5	2.5	3									1.25	1.25	7
J19	J	19	Full Send	Fresh SMx +DNA	Sample	2	2			7.5	2.5	3									1.25	1.25	7
L19	L	19	Full Send	Fresh SMx +DNA	Sample	2	2.5			7.5	2.5	3									1.25	1.25	7
N19	N	19	Full Send	Fresh SMx +DNA	Sample	2	3			7.5	2.5	3									1.25	1.25	7
P19	P	19	Full Send	Fresh SMx +DNA	Sample	2	3.5			7.5	2.5	3									1.25	1.25	7
B21	B	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0			7.5	2.5	3									1.25	1.25	7
D21	D	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	0.5			7.5	2.5	3									1.25	1.25	7
F21	F	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	1			7.5	2.5	3									1.25	1.25	7
H21	H	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	1.5			7.5	2.5	3									1.25	1.25	7
J21	J	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	2			7.5	2.5	3									1.25	1.25	7
L21	L	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	2.5			7.5	2.5	3									1.25	1.25	7
N21	N	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	3			7.5	2.5	3									1.25	1.25	7
P21	P	21	Full Send	Fresh SMx +DNA (Freeze)	Sample	2	3.5			7.5	2.5	3									1.25	1.25	7
